n,Pieter,Sturm,Graeffe
1,4,0,0
2,0,0,4
3,0,0,4
4,0,0,0
5,4,4,4
6,16,12,4
7,32,48,16
8,112,188,28
9,432,936,100
10,1668,4768,340
11,6620,35196,1288
