n,NumerisalSgp,Pieter,Sturm,Graeffe
1,16,0,0,0
2,8,0,0,0
3,4,0,0,0
4,4,0,0,0
5,8,0,0,0
6,16,0,4,0
7,32,0,0,0
8,104,0,0,0
9,484,0,4,0
