n,Pieter,Sturm,Graeffe
1,0,0,4
2,0,0,0
3,0,0,0
4,0,0,0
5,4,0,0
6,0,4,0
7,8,4,8
8,16,20,20
9,60,64,60
10,224,220,232
11,864,840,856
12,3340,3396,3324
