n,Pieter (improved),Boyd,Graeffe (improved)
1,0,4,0
2,0,0,4
3,0,0,0
4,4,0,0
5,4,0,4
6,8,4,4
7,32,4,12
8,60,16,24
9,228,56,68
10,744,200,248
11,3168,988,920
