n,Pieter (improved),Boyd,Graeffe (improved)
1,8x^2-x+10,0,0
2,18x^4-x^3+x^2-x+10,0,0
3,20x^6-x^5+x^3-x+14,0,0
4,21x^8-x^7+x^4-x+10,0,0
5,21x^10-x^9+x^5-x+14,0,0
6,22x^12-x^11+x^6-x+14,0,0
7,22x^14-x^13+x^7-x+10,0,4
8,22x^16-x^15+x^8-x+10,0,0
9,22x^18-x^17+x^9-x+14,0,0
10,22x^20-x^19+x^10-x+14,0,0
11,22x^22-x^21+x^11-x+14,0,0
12,23x^24-x^23+x^12-x+10,4,0
13,23x^26-x^25+x^13-x+10,4,0
14,23x^28-x^27+x^14-x+10,4,0
15,23x^30-x^29+x^15-x+10,4,0
16,23x^32-x^31+x^16-x+10,4,0
17,23x^34-x^33+x^17-x+112,4,0
18,23x^36-x^35+x^18-x+14,0,0
19,23x^38-x^37+x^19-x+14,0,0
20,23x^40-x^39+x^20-x+14,0,4
21,23x^42-x^41+x^21-x+10,4,0
22,23x^44-x^43+x^22-x+14,0,0
23,23x^46-x^45+x^23-x+14,0,4
24,23x^48-x^47+x^24-x+10,4,0
25,23x^50-x^49+x^25-x+14,4,0
26,23x^52-x^51+x^26-x+14,0,4
27,23x^54-x^53+x^27-x+10,4,0
28,23x^56-x^55+x^28-x+14,4,4
29,23x^58-x^57+x^29-x+14,4,0
30,23x^60-x^59+x^30-x+14,4,0
31,23x^62-x^61+x^31-x+14,4,0
32,23x^64-x^63+x^32-x+14,4,0
33,23x^66-x^65+x^33-x+14,4,4
34,23x^68-x^67+x^34-x+14,4,4
35,23x^70-x^69+x^35-x+10,8,0
36,23x^72-x^71+x^36-x+14,4,4
37,23x^74-x^73+x^37-x+10,8,4
38,23x^76-x^75+x^38-x+10,8,4
39,23x^78-x^77+x^39-x+10,8,4
40,23x^80-x^79+x^40-x+14,8,4
41,23x^82-x^81+x^41-x+10,12,0
42,23x^84-x^83+x^42-x+14,12,0
43,23x^86-x^85+x^43-x+14,28,0
44,23x^88-x^87+x^44-x+14,16,0
45,23x^90-x^89+x^45-x+14,20,0
46,23x^92-x^91+x^46-x+14,20,0
47,23x^94-x^93+x^47-x+14,16,4
48,23x^96-x^95+x^48-x+14,16,4
49,23x^98-x^97+x^49-x+14,20,0
50,23x^100-x^99+x^50-x+18,20,4
51,23x^102-x^101+x^51-x+14,24,4
52,23x^104-x^103+x^52-x+14,36,4
53,23x^106-x^105+x^53-x+14,24,4
54,23x^108-x^107+x^54-x+14,28,4
55,23x^110-x^109+x^55-x+14,32,4
56,23x^112-x^111+x^56-x+14,32,4
57,23x^114-x^113+x^57-x+14,32,4
58,23x^116-x^115+x^58-x+14,44,4
59,23x^118-x^117+x^59-x+14,40,0
60,23x^120-x^119+x^60-x+14,40,4
61,23x^122-x^121+x^61-x+14,40,0
62,23x^124-x^123+x^62-x+14,56,4
63,23x^126-x^125+x^63-x+14,48,0
64,23x^128-x^127+x^64-x+14,56,8
65,23x^130-x^129+x^65-x+14,64,4
66,23x^132-x^131+x^66-x+14,56,4
67,23x^134-x^133+x^67-x+14,60,4
68,23x^136-x^135+x^68-x+14,76,0
69,23x^138-x^137+x^69-x+10,72,0
70,23x^140-x^139+x^70-x+14,76,4
71,23x^142-x^141+x^71-x+14,84,4
72,23x^144-x^143+x^72-x+14,80,4
73,23x^146-x^145+x^73-x+14,96,4
74,23x^148-x^147+x^74-x+14,88,4
75,23x^150-x^149+x^75-x+14,104,4
76,23x^152-x^151+x^76-x+14,104,8
77,23x^154-x^153+x^77-x+14,116,0
78,23x^156-x^155+x^78-x+14,128,4
79,23x^158-x^157+x^79-x+14,128,4
80,23x^160-x^159+x^80-x+14,128,4
81,23x^162-x^161+x^81-x+14,140,4
82,23x^164-x^163+x^82-x+14,148,4
83,23x^166-x^165+x^83-x+14,152,4
84,23x^168-x^167+x^84-x+14,164,4
85,23x^170-x^169+x^85-x+14,172,8
86,23x^172-x^171+x^86-x+14,176,4
87,23x^174-x^173+x^87-x+14,232,4
88,23x^176-x^175+x^88-x+14,220,12
89,23x^178-x^177+x^89-x+14,220,4
90,23x^180-x^179+x^90-x+14,220,4
91,23x^182-x^181+x^91-x+14,228,4
92,23x^184-x^183+x^92-x+14,244,0
93,23x^186-x^185+x^93-x+14,300,4
94,23x^188-x^187+x^94-x+18,272,4
95,23x^190-x^189+x^95-x+14,296,4
96,23x^192-x^191+x^96-x+18,300,4
97,23x^194-x^193+x^97-x+14,316,4
98,23x^196-x^195+x^98-x+18,320,4
99,23x^198-x^197+x^99-x+14,340,8
