n,Pieter,Sturm,Graeffe
1,0,0,0
2,0,0,0
3,0,0,4
4,0,0,0
5,0,0,4
6,0,0,0
7,0,0,4
8,0,0,0
9,4,0,0
10,0,0,4
11,0,0,0
12,4,0,0
13,0,4,0
14,0,4,0
15,0,4,0
16,0,0,4
17,8,4,0
18,4,0,0
19,4,0,4
20,0,0,4
21,0,4,0
22,4,0,0
23,4,4,0
24,4,0,4
25,0,4,0
26,4,0,4
27,0,4,0
28,4,0,0
29,4,8,4
30,4,0,0
31,4,8,0
32,4,4,0
33,4,4,0
34,4,4,0
35,4,4,0
36,4,4,0
37,8,12,0
38,4,4,0
39,4,8,0
40,4,0,4
41,8,8,4
42,4,0,0
43,8,16,0
44,8,0,4
45,4,4,0
46,8,4,0
47,8,16,4
48,4,4,0
49,8,12,0
50,4,4,0
51,8,8,0
52,8,8,0
53,8,20,0
54,8,0,4
55,8,12,0
56,12,4,0
57,8,12,0
58,8,8,0
59,12,28,0
60,8,4,0
61,12,36,4
62,8,12,0
63,12,8,0
64,12,8,4
65,20,20,0
66,8,4,4
67,16,36,0
68,12,8,0
69,12,20,0
70,12,4,0
71,16,40,4
72,8,4,0
73,16,40,0
74,12,8,4
75,16,8,0
76,12,8,0
77,16,28,0
78,12,4,4
79,16,48,0
80,16,8,12
81,24,24,0
82,16,16,8
83,28,68,4
84,12,4,0
85,20,32,4
86,12,12,4
87,20,20,0
88,16,8,4
89,20,56,0
90,12,4,0
91,28,40,0
92,16,8,0
93,20,28,0
94,16,20,0
95,20,40,0
96,16,4,0
97,28,64,4
98,16,16,0
99,20,24,0
100,16,8,0
101,28,72,4
102,20,12,0
103,32,80,0
104,20,12,4
105,16,20,0
106,24,16,4
107,36,88,4
108,20,8,0
109,40,100,4
110,20,16,0
111,32,36,0
112,24,4,4
113,36,104,0
114,24,12,0
115,32,64,0
116,32,12,4
117,32,36,4
118,28,24,4
119,36,72,4
120,24,4,4
121,84,72,0
122,24,32,0
123,28,52,0
124,28,12,4
125,48,76,4
126,32,12,0
127,76,204,8
128,40,20,8
129,56,56,4
130,24,20,0
131,48,144,4
132,32,4,4
133,48,96,0
134,32,36,0
135,36,28,0
136,36,12,4
137,52,172,4
138,32,16,0
139,52,168,4
140,36,8,4
141,44,64,0
142,36,36,0
143,56,136,4
144,32,8,4
145,48,96,0
146,36,36,4
147,44,44,0
148,36,16,4
149,60,172,4
150,32,12,0
151,56,224,4
152,44,20,4
153,44,56,4
154,36,24,4
155,52,104,4
156,36,8,4
157,68,244,8
158,40,44,4
159,52,76,4
160,36,12,8
161,60,152,4
162,36,16,0
163,68,288,4
164,44,20,4
165,48,56,0
166,48,56,4
167,68,228,4
168,36,8,4
169,64,164,4
170,40,28,4
171,56,112,0
172,44,24,4
173,76,228,12
174,36,24,4
175,56,88,0
176,52,16,4
177,60,96,4
178,48,56,4
179,84,328,8
180,40,8,0
181,80,268,8
182,48,36,0
183,64,140,0
184,56,20,8
185,76,152,4
186,40,28,0
187,76,268,4
188,56,24,4
189,60,68,4
190,48,36,4
191,92,344,4
192,48,12,4
193,88,344,8
194,60,64,4
195,64,92,0
196,60,20,4
197,96,364,8
198,48,28,0
199,96,380,4
200,56,20,4
201,76,132,4
202,60,72,0
203,88,300,4
204,48,12,4
205,88,192,0
206,64,76,0
207,72,112,4
208,64,24,8
209,96,456,4
210,48,24,0
211,108,420,8
212,68,32,8
213,76,140,4
214,68,80,4
215,92,284,4
216,56,12,4
217,100,296,8
218,72,84,4
219,88,156,4
220,60,56,4
221,104,472,8
222,60,40,0
223,128,484,8
224,72,24,8
225,80,124,0
226,80,96,4
227,116,484,4
228,60,16,4
229,120,436,8
230,76,52,4
231,80,168,4
232,76,36,4
233,128,536,8
234,68,32,4
235,112,448,8
236,80,40,8
237,100,180,4
238,72,68,4
239,136,580,12
240,60,12,4
241,136,588,12
242,84,68,0
243,128,152,4
244,100,44,12
245,104,240,4
246,76,40,4
247,132,716,8
248,88,40,8
249,108,248,4
250,92,88,0
