n,Pieter (improved),Boyd,Graeffe (improved)
1,0,0,0
2,0,0,0
3,0,0,0
4,0,4,0
5,0,0,0
6,0,0,0
7,4,0,0
8,4,0,0
9,4,4,0
10,20,4,8
11,12,8,12
12,24,32,32
13,76,68,56
14,156,128,136
15,340,368,412
16,1072,1092,1364
